data_pregao;codneg;preabe;premax;premin;premed;preult;totneg;quatot
02/01/2024;AALR3;10.2;10.36;8.5;9.32;8.5;1993;430400
02/01/2024;ABCB4;23.98;23.98;22.79;23.11;22.88;8964;1944700
02/01/2024;ABEV3;13.72;13.73;13.59;13.67;13.71;16587;11690200
02/01/2024;BBDC3;15.26;15.26;14.98;15.08;15.11;6674;4545600
02/01/2024;ALPA3;10.11;10.3;9.99;10.04;10.0;20;2900
02/01/2024;ALPA4;10.1;10.12;9.31;9.71;9.31;14280;6907000
02/01/2024;ALPK3;4.92;4.97;4.47;4.6;4.66;982;234900
02/01/2024;ALUP3;10.46;10.46;10.07;10.23;10.15;124;14400
02/01/2024;ALUP4;10.62;10.62;10.0;10.23;10.0;211;32200
02/01/2024;AMAR3;3.63;3.71;3.45;3.54;3.48;1652;965800
02/01/2024;AMBP3;16.17;16.29;15.51;15.83;15.58;7292;1379300
02/01/2024;RCSL3;2.43;2.73;2.38;2.54;2.48;4051;4944100
02/01/2024;RCSL4;0.88;0.88;0.86;0.87;0.87;1555;2908500
02/01/2024;RDNI3;4.69;4.72;4.5;4.62;4.63;65;26700
02/01/2024;RDOR3;28.11;28.36;27.58;27.8;27.74;14625;4877200
02/01/2024;TASA4;15.2;15.23;14.7;14.95;14.76;3519;547700
02/01/2024;TCSA3;3.98;4.0;3.82;3.89;3.92;289;112500
02/01/2024;TECN3;3.52;3.65;3.5;3.58;3.63;1150;334800
02/01/2024;TELB3;15.75;15.75;15.42;15.54;15.42;4;500
02/01/2024;TELB4;12.91;12.96;12.3;12.58;12.31;29;10700
02/01/2024;TRAD3;0.87;0.87;0.83;0.84;0.86;632;642700
02/01/2024;TRIS3;5.75;5.75;5.45;5.57;5.49;4444;1668800
02/01/2024;VLID3;20.79;21.02;20.47;20.66;20.6;4417;684400
02/01/2024;BMEB3;20.22;20.22;20.18;20.2;20.22;4;600
02/01/2024;BMEB4;17.0;17.05;16.5;16.9;16.5;43;14600
02/01/2024;BMGB4;3.25;3.26;3.12;3.18;3.16;1734;1023500
02/01/2024;BMKS3;359.98;359.98;350.97;359.71;359.97;11;50
02/01/2024;BMOB3;14.01;14.04;13.42;13.6;13.65;2868;432700
02/01/2024;BNBR3;112.0;112.0;112.0;112.0;112.0;1;100
02/01/2024;BOBR4;2.04;2.05;2.0;2.02;2.0;57;41600
02/01/2024;BRAP4;25.71;25.84;25.31;25.59;25.41;8865;3148900
02/01/2024;EPAR3;11.8;11.8;10.78;11.16;10.81;173;41000
02/01/2024;EQMA3B;29.79;29.8;29.5;29.69;29.5;3;600
02/01/2024;EQPA3;7.62;7.63;7.48;7.6;7.63;9;3000
02/01/2024;EQTL3;35.72;35.82;34.86;35.12;35.0;16035;4762600
02/01/2024;ESPA3;1.23;1.24;1.14;1.18;1.15;3801;2244800
02/01/2024;ESTR4;4.02;4.18;4.0;4.01;4.18;6;2600
02/01/2024;EUCA3;16.06;16.52;16.05;16.2;16.5;10;1100
02/01/2024;CRPG5;37.85;37.85;36.66;37.14;37.2;29;3000
02/01/2024;CRPG6;35.82;36.8;35.51;36.64;36.11;25;5600
02/01/2024;CSAN3;19.38;19.48;19.05;19.24;19.22;12946;5096300
02/01/2024;CSED3;5.32;5.32;5.14;5.2;5.15;2267;403200
02/01/2024;ENGI3;18.59;18.6;17.72;18.26;17.88;56;6400
02/01/2024;ENGI4;8.8;8.8;8.4;8.6;8.59;85;24200
02/01/2024;ENJU3;1.65;1.69;1.6;1.63;1.62;970;609000
02/01/2024;MDIA3;38.63;38.63;37.45;37.81;37.76;3688;570900
02/01/2024;MDNE3;13.33;13.33;12.72;12.95;12.83;3359;730100
02/01/2024;MEAL3;1.97;1.97;1.86;1.9;1.87;3014;2606900
02/01/2024;MELK3;4.79;4.89;4.62;4.74;4.79;1070;307900
02/01/2024;MGEL4;13.36;13.49;13.32;13.37;13.49;9;2000
02/01/2024;MGLU3;2.14;2.15;2.03;2.08;2.05;33273;115658000
02/01/2024;PDGR3;0.45;0.45;0.42;0.43;0.43;1271;5670800
02/01/2024;PDTC3;3.1;3.18;3.05;3.11;3.17;147;80800
02/01/2024;PETR3;39.0;39.63;39.0;39.34;39.36;12464;6743900
02/01/2024;PETR4;37.44;37.89;37.4;37.66;37.78;39280;24043800
02/01/2024;AERI3;0.91;0.91;0.86;0.87;0.87;13099;7195300
02/01/2024;AFLT3;8.11;8.45;7.8;8.14;8.44;23;3800
02/01/2024;AGRO3;26.58;26.62;25.93;26.1;26.04;3367;492200
02/01/2024;AGXY3;3.64;3.64;3.43;3.54;3.43;366;113500
02/01/2024;ALLD3;7.49;7.54;7.33;7.4;7.41;120;38600
02/01/2024;ALOS3;26.51;26.51;25.56;25.84;25.75;23461;6747600
02/01/2024;BBDC4;16.95;17.01;16.67;16.79;16.75;36017;31715700
02/01/2024;CMIN3;7.8;7.96;7.75;7.86;7.89;13112;7861400
02/01/2024;COCE5;42.55;42.61;41.53;41.87;41.62;248;34500
02/01/2024;COGN3;3.48;3.48;3.36;3.4;3.36;22956;24095200
02/01/2024;DMVF3;5.84;5.91;5.51;5.69;5.66;212;48600
02/01/2024;DOHL4;5.14;5.24;5.09;5.15;5.19;5;500
02/01/2024;DOTZ3;7.8;7.99;7.66;7.76;7.8;24;5900
02/01/2024;DXCO3;8.0;8.06;7.73;7.84;7.78;13641;3588600
02/01/2024;BSLI3;12.39;13.32;12.39;12.65;13.32;5;700
02/01/2024;BSLI4;11.86;12.29;11.86;12.07;12.29;2;200
02/01/2024;CAMB3;10.74;10.92;9.93;10.09;10.01;612;560100
02/01/2024;CAML3;8.45;8.45;7.78;7.96;7.88;5004;1947800
02/01/2024;CASH3;7.93;7.97;7.64;7.77;7.68;3699;1570400
02/01/2024;CBAV3;5.06;5.2;4.98;5.09;5.03;7648;3988500
02/01/2024;CBEE3;14.8;14.8;14.8;14.8;14.8;1;100
02/01/2024;CTSA3;5.39;5.39;4.79;4.93;4.79;143;33300
02/01/2024;CTSA4;2.23;2.28;2.08;2.15;2.08;321;84400
02/01/2024;CURY3;17.81;18.09;17.54;17.79;17.54;8203;2066400
02/01/2024;CVCB3;3.5;3.52;3.26;3.35;3.28;29957;39062900
02/01/2024;CXSE3;12.9;12.97;12.8;12.87;12.8;7180;2156900
02/01/2024;GGPS3;18.85;18.95;18.12;18.35;18.31;11528;2468900
02/01/2024;GMAT3;7.13;7.13;6.87;6.95;6.89;7956;3178000
02/01/2024;GOAU3;11.15;11.18;11.0;11.08;11.01;361;72100
02/01/2024;GOAU4;10.88;10.94;10.72;10.82;10.77;14892;8251800
02/01/2024;MILS3;13.59;13.61;13.05;13.25;13.23;4964;1055400
02/01/2024;MLAS3;2.1;2.12;1.95;2.01;1.97;11935;6153900
02/01/2024;MNDL3;52.47;52.6;52.47;52.51;52.6;9;1100
02/01/2024;MNPR3;18.74;18.85;18.74;18.78;18.85;5;2000
02/01/2024;MOVI3;11.83;11.84;11.1;11.32;11.1;11426;3000900
02/01/2024;MRFG3;9.65;9.75;9.52;9.63;9.65;11651;4588500
02/01/2024;AVLL3;5.0;5.0;5.0;5.0;5.0;3;300
02/01/2024;AZEV3;2.04;2.04;1.95;1.99;1.95;613;477300
02/01/2024;AZEV4;1.98;2.0;1.91;1.95;1.91;1964;2743200
02/01/2024;AZUL4;15.82;15.82;14.66;15.06;14.7;24480;17737100
02/01/2024;B3SA3;14.31;14.4;14.02;14.14;14.17;43596;30729000
02/01/2024;BEES3;9.8;9.81;9.56;9.68;9.69;141;24900
02/01/2024;BEES4;10.11;10.23;10.11;10.13;10.23;61;12700
02/01/2024;ANIM3;4.5;4.58;4.3;4.42;4.32;16713;10796000
02/01/2024;ARML3;16.82;16.87;15.8;16.17;16.08;4424;721700
02/01/2024;BBSE3;33.65;33.96;33.59;33.8;33.89;13854;3584300
02/01/2024;BPAC3;17.87;17.89;17.32;17.75;17.36;53;7500
02/01/2024;BPAC5;9.8;9.96;9.48;9.7;9.87;57;13800
02/01/2024;BPAN4;8.59;8.66;8.25;8.4;8.32;6539;1986400
02/01/2024;BRAP3;23.36;23.39;23.06;23.26;23.28;198;42000
02/01/2024;EUCA4;15.86;15.9;15.75;15.86;15.9;174;41200
02/01/2024;EVEN3;8.18;8.18;7.64;7.74;7.75;5191;1187800
02/01/2024;MATD3;8.37;8.37;7.93;8.03;8.0;3186;735300
02/01/2024;CPFE3;38.51;38.79;37.97;38.45;38.41;6339;1197800
02/01/2024;CPLE3;9.49;9.49;9.26;9.33;9.26;4991;4623200
02/01/2024;CPLE5;22.78;22.78;22.78;22.78;22.78;1;100
02/01/2024;CPLE6;10.35;10.36;10.09;10.17;10.15;21265;14192700
02/01/2024;EKTR4;38.01;38.11;38.0;38.02;38.11;4;600
02/01/2024;ELET3;42.03;42.37;41.51;41.74;41.74;14253;3568400
02/01/2024;ELET6;46.98;47.36;46.04;46.27;46.28;3863;876500
02/01/2024;EMAE4;58.96;59.35;58.7;59.02;58.89;9;1200
02/01/2024;EMBR3;22.39;22.47;21.85;22.05;22.02;14115;5797500
02/01/2024;ENEV3;13.51;13.56;13.2;13.32;13.29;14169;8767600
02/01/2024;IFCM3;1.85;1.88;1.73;1.78;1.73;15624;11591600
02/01/2024;IGTI3;3.0;3.0;2.91;2.93;2.91;176;42100
02/01/2024;EALT3;9.78;9.78;9.78;9.78;9.78;1;100
02/01/2024;EALT4;9.54;9.54;9.23;9.38;9.49;28;14000
02/01/2024;ECOR3;9.34;9.49;9.2;9.33;9.45;14675;4884700
02/01/2024;EGIE3;44.7;44.87;44.3;44.52;44.52;6754;1479200
02/01/2024;TEND3;14.67;14.77;14.03;14.26;14.15;8952;2340800
02/01/2024;TFCO4;14.84;14.86;14.42;14.7;14.7;1009;191100
02/01/2024;TGMA3;28.07;28.23;27.54;27.8;27.76;3419;589800
02/01/2024;TIMS3;17.93;17.95;17.61;17.74;17.73;18733;11609500
02/01/2024;TOTS3;33.13;33.39;32.5;32.79;33.0;10233;2837100
02/01/2024;TPIS3;4.15;4.2;4.1;4.15;4.18;147;49400
02/01/2024;SHOW3;2.1;2.13;1.95;2.02;2.08;896;360200
02/01/2024;SHUL4;7.04;7.13;6.88;6.99;6.94;2014;524200
02/01/2024;SIMH3;9.63;9.63;9.0;9.15;9.02;11292;4583500
02/01/2024;SLCE3;18.85;18.98;18.29;18.5;18.35;12580;3022800
02/01/2024;PETZ3;3.94;3.94;3.71;3.8;3.76;16253;16176400
02/01/2024;RSUL4;77.0;77.0;75.56;76.24;75.56;20;2000
02/01/2024;VULC3;19.94;20.31;19.69;19.94;19.72;3990;704600
02/01/2024;VVEO3;14.08;14.09;13.36;13.62;13.41;8307;2131600
02/01/2024;SANB3;15.19;15.19;14.99;15.06;15.14;1034;143300
02/01/2024;SANB4;17.0;17.0;16.75;16.84;16.94;830;117200
02/01/2024;SAPR3;5.55;5.55;5.32;5.39;5.35;971;536200
02/01/2024;SAPR4;5.78;5.78;5.65;5.7;5.71;3059;2403500
02/01/2024;SBFG3;11.73;11.73;10.71;11.04;10.95;15175;3609400
02/01/2024;SBSP3;75.35;75.35;72.98;73.75;73.63;9777;1690300
02/01/2024;WEGE3;36.91;37.05;36.33;36.63;36.57;13718;3991200
02/01/2024;SYNE3;4.79;4.87;4.62;4.74;4.87;1974;546700
02/01/2024;VALE3;77.6;78.18;76.59;77.4;77.05;34570;18021800
02/01/2024;ZAMP3;5.7;5.73;5.52;5.59;5.62;5794;1062700
02/01/2024;RECV3;21.71;21.71;20.75;21.06;20.77;14792;3219700
02/01/2024;TAEE3;12.85;12.85;12.65;12.73;12.72;1667;249600
02/01/2024;TAEE4;12.85;12.89;12.71;12.78;12.76;2141;515000
02/01/2024;TASA3;15.1;15.12;14.74;15.04;14.81;150;39800
02/01/2024;VBBR3;22.69;23.04;22.57;22.84;22.97;20781;11710000
02/01/2024;REDE3;6.62;7.02;6.62;6.68;6.67;42;7500
02/01/2024;RENT3;63.33;63.51;60.92;61.75;61.26;24305;7037300
02/01/2024;VITT3;10.64;10.64;10.05;10.16;10.07;1334;386000
02/01/2024;VIVA3;34.61;34.83;33.76;34.09;34.02;11486;3947400
02/01/2024;VIVR3;5.19;5.2;5.06;5.08;5.07;273;100200
02/01/2024;VIVT3;53.44;53.44;52.31;52.64;52.62;10491;3085200
02/01/2024;TTEN3;12.05;12.08;10.87;11.26;10.91;8591;2109900
02/01/2024;TUPY3;28.76;28.89;27.47;27.95;27.47;5315;944300
02/01/2024;UCAS3;2.65;2.69;2.65;2.67;2.65;73;26600
02/01/2024;UGPA3;26.24;26.65;26.11;26.43;26.58;14106;4732900
02/01/2024;UNIP3;69.98;70.34;69.57;69.85;69.68;74;8800
02/01/2024;UNIP5;78.15;78.15;78.11;78.13;78.11;2;200
02/01/2024;UNIP6;76.49;76.78;75.22;75.76;75.42;1577;265400
