CD_ATIVO;Setor;Industria
AMER3;Consumer Cyclical;Internet Retail
ALPK3;Industrials;Infrastructure Operations
CLSC3;Utilities;Utilities - Regulated Electric
CLSC4;Utilities;Utilities - Regulated Electric
BRAV3;Energy;Oil & Gas E&P
EMBR3;Industrials;Aerospace & Defense
HAPV3;Financial Services;Insurance - Life
JBSS3;;
LREN3;Consumer Cyclical;Department Stores
MRFG3;Consumer Defensive;Packaged Foods
NTCO3;;
RAIL3;Industrials;Railroads
SLCE3;Consumer Defensive;Farm Products
TIMS3;Communication Services;Telecom Services
ALOS3;Real Estate;Real Estate Services
ASAI3;Consumer Defensive;Grocery Stores
B3SA3;Financial Services;Financial Data & Stock Exchanges
BBSE3;Financial Services;Insurance - Diversified
BRFS3;Consumer Defensive;Packaged Foods
CPLE3;Utilities;Utilities - Regulated Electric
CSAN3;Energy;Oil & Gas Refining & Marketing
ECOR3;Industrials;Infrastructure Operations
IRBR3;Financial Services;Insurance - Reinsurance
PRIO3;Energy;Oil & Gas E&P
RENT3;Industrials;Rental & Leasing Services
UGPA3;Energy;Oil & Gas Refining & Marketing
VALE3;Basic Materials;Other Industrial Metals & Mining
AZZA3;Consumer Cyclical;Footwear & Accessories
BBAS3;Financial Services;Banks - Regional
DIRR3;Real Estate;Real Estate - Development
ENEV3;Utilities;Utilities - Diversified
EQTL3;Utilities;Utilities - Regulated Electric
HYPE3;Healthcare;Drug Manufacturers - Specialty & Generic
MULT3;Real Estate;Real Estate Services
RADL3;Healthcare;Pharmaceutical Retailers
STBP3;Industrials;Marine Shipping
SUZB3;Basic Materials;Paper & Paper Products
VIVA3;Consumer Cyclical;Luxury Goods
WEGE3;Industrials;Electrical Equipment & Parts
YDUQ3;Consumer Defensive;Education & Training Services
ABEV3;Consumer Defensive;Beverages - Brewers
BBDC3;Financial Services;Banks - Regional
CCRO3;;
CURY3;Real Estate;Real Estate - Development
CXSE3;Financial Services;Insurance - Diversified
ELET3;Utilities;Utilities - Renewable
GMAT3;Consumer Cyclical;Department Stores
INTB3;Technology;Communication Equipment
PETR3;Energy;Oil & Gas Integrated
PETZ3;Consumer Cyclical;Specialty Retail
PSSA3;Financial Services;Insurance - Diversified
RECV3;Energy;Oil & Gas E&P
SBSP3;Utilities;Utilities - Regulated Water
TOTS3;Technology;Software - Application
VBBR3;Consumer Cyclical;Specialty Retail
VIVT3;Communication Services;Telecom Services
VULC3;Consumer Cyclical;Footwear & Accessories
ITSA4;Industrials;Conglomerates
ITUB4;Financial Services;Banks - Regional
BRKM5;Basic Materials;Chemicals
GOAU4;Basic Materials;Steel
PETR4;Energy;Oil & Gas Integrated
BBDC4;Financial Services;Banks - Regional
ELET6;Utilities;Utilities - Renewable
GGBR4;Basic Materials;Steel
CMIG4;Utilities;Utilities - Diversified
CPLE6;Utilities;Utilities - Regulated Electric
POMO4;Industrials;Farm & Heavy Construction Machinery
MRVE3;Real Estate;Real Estate - Development
BEEF3;Consumer Defensive;Farm Products
LWSA3;Technology;Software - Infrastructure
AURE3;Utilities;Utilities - Renewable
CRFB3;;
FLRY3;Healthcare;Diagnostics & Research
