;Industria
0;
1;Utilities - Regulated Electric
4;Internet Retail
5;Insurance - Life
6;Infrastructure Operations
7;Department Stores
8;Aerospace & Defense
9;Oil & Gas E&P
11;Insurance - Diversified
12;Railroads
13;Telecom Services
14;Real Estate Services
15;Farm Products
16;Grocery Stores
17;Financial Data & Stock Exchanges
19;Packaged Foods
20;Oil & Gas Refining & Marketing
23;Rental & Leasing Services
24;Insurance - Reinsurance
26;Footwear & Accessories
27;Real Estate - Development
28;Other Industrial Metals & Mining
29;Banks - Regional
30;Utilities - Diversified
31;Marine Shipping
33;Paper & Paper Products
35;Drug Manufacturers - Specialty & Generic
36;Pharmaceutical Retailers
37;Electrical Equipment & Parts
38;Education & Training Services
39;Luxury Goods
43;Utilities - Renewable
44;Beverages - Brewers
46;Oil & Gas Integrated
48;Communication Equipment
51;Specialty Retail
52;Software - Application
53;Utilities - Regulated Water
57;Conglomerates
58;Chemicals
62;Steel
64;Farm & Heavy Construction Machinery
69;Software - Infrastructure
73;Medical Care Facilities
74;Diagnostics & Research
78;Travel Services
80;Residential Construction
82;Auto & Truck Dealerships
84;Asset Management
85;Specialty Chemicals
87;Airlines
89;Utilities - Independent Power Producers
92;Waste Management
96;Specialty Business Services
97;Leisure
101;Restaurants
105;Real Estate - Diversified
107;Apparel Manufacturing
111;Building Products & Equipment
115;Auto Parts
117;Drug Manufacturers - General
120;Engineering & Construction
128;Electronics & Computer Distribution
131;Agricultural Inputs
137;Computer Hardware
138;Trucking
140;Healthcare Plans
144;Metal Fabrication
148;Apparel Retail
152;Integrated Freight & Logistics
154;Confectioners
155;Medical Distribution
164;Specialty Industrial Machinery
167;Biotechnology
169;Textile Manufacturing
170;Capital Markets
181;Aluminum
191;Furnishings, Fixtures & Appliances
206;Lumber & Wood Production
208;Advertising Agencies
234;Packaging & Containers
246;Entertainment
249;Personal Services
278;Copper
280;Internet Content & Information
281;Household & Personal Products
283;Oil & Gas Equipment & Services
300;Insurance Brokers
